SubjID,MAD,ACC,betareg-ACC,RT,Composite,Age_Music_Onset,Tonal,Current_Age,Early,Group,RT(ms),AboveChance
AA6796,0.217391304,0.833333333,0.833333333,3.322905348,33.95142421,5,0,29,Early,gAP,2333.041667,1
AG4603,2.863636364,0.104166667,0.104166667,3.439793017,44.24824653,9,0,36,Late,nAP,2947.9375,0
AT8304,0.063829787,0.9375,0.9375,3.220429288,32.40985219,3,1,21,Early,gAP,1782.791667,1
AW3245,2.633333333,0.083333333,0.083333333,3.58920399,45.34361041,9,0,60,Late,nAP,4062.770833,0
AY2833,0.708333333,0.1875,0.1875,3.585558212,38.39535252,5,1,27,Early,nAP,4066.020833,1
AZ5815,0.828571429,0.291666667,0.291666667,3.573664841,38.69768499,5,0,48,Early,pAP,3918.229167,1
BB9141,0.236842105,0.604166667,0.604166667,3.449171206,35.30862103,6,1,20,Early,pAP,3106.5625,1
BF5898,2.952380952,0.166666667,0.166666667,3.469695847,44.9408224,4,0,35,Early,nAP,3101.0625,0
BH5376,0.644444444,0.541666667,0.541666667,3.410504254,36.30292306,6,1,41,Early,pAP,2760.229167,1
BJ1342,0.266666667,0.6875,0.6875,3.404699931,34.9549193,5,1,33,Early,pAP,2777.5,1
BM8072,0,0.9375,0.9375,3.361660061,33.61660061,10,0,18,Late,gAP,2487.3125,1
BQ1891,0.25,0.791666667,0.791666667,3.564287006,36.53394181,14,0,61,Late,pAP,3765.291667,1
BR2487,0,0.979166667,0.979166667,3.197213081,31.97213081,5,0,24,Early,gAP,1668.708333,1
BZ3526,0.066666667,0.916666667,0.916666667,3.356384142,33.78760036,7,0,18,Late,gAP,2486.729167,1
CC1507,1.071428571,0.3125,0.3125,3.476250294,38.48705683,7,0,19,Late,pAP,3295.9375,1
CC5567,2.638297872,0.125,0.125,3.34447064,42.26841618,10,0,65,Late,nAP,2351.333333,0
CD3064,2.486486486,0.104166667,0.104166667,3.582158234,44.72857038,6,0,60,Early,nAP,3919.520833,0
CH1093,0.844444444,0.3125,0.3125,3.358524888,36.42133656,4,0,45,Early,pAP,2471.333333,1
CK2460,2.543478261,0.104166667,0.104166667,3.419585131,42.89349175,10,0,33,Late,nAP,2806.166667,0
